name,price,discount,date
Ray Ban 0RX6375,119120,20% marcos + cristales,2025-11-01 00:10:00
Ray Ban 0RX6375,119120,20% marcos + cristales,2025-11-01 00:10:00
Harper HA1154 Clip On,49425,25% marcos + cristales,2025-11-01 00:10:00
Kalani KA1012,1,$1,2025-11-01 00:10:00
Kalani KA1007,1,$1,2025-11-01 00:10:00
Polo RLPH2212,106320,20% marcos + cristales,2025-11-01 00:10:00
Polaroid Clip On PLD2148/CS,103920,20% marcos + cristales,2025-11-01 00:10:00
Polo RLPH2083,127920,20% marcos + cristales,2025-11-01 00:10:00
Polo RLPH1175,115120,20% marcos + cristales,2025-11-01 00:10:00
Lucca LU1018,26925,25% marcos + cristales,2025-11-01 00:10:00
Harper HA1157 Clip On,49425,25% marcos + cristales,2025-11-01 00:10:00
Polo RLPH2262,115120,20% marcos + cristales,2025-11-01 00:10:00
Giacomo GI1016,1,$1,2025-11-01 00:10:00
Kalani KA1012,1,$1,2025-11-01 00:10:00
RayBan 0RX6335,131920,20% marcos + cristales,2025-11-01 00:10:00
Giacomo GI1020,49425,25% marcos + cristales,2025-11-01 00:10:00
RayBan 0RX5228,139920,20% marcos + cristales,2025-11-01 00:10:00
Ray Ban 0RX7047,105520,20% marcos + cristales,2025-11-01 00:10:00
Oakley METALINK,121520,20% marcos + cristales,2025-11-01 00:10:00
RayBan 0RX7330,111120,20% marcos + cristales,2025-11-01 00:10:00
RayBan CLUBMASTER,139920,20% marcos + cristales,2025-11-01 00:10:00
Giacomo GI1025,1,$1,2025-11-01 00:10:00
Polaroid Clip On PLD 6203/CS,103920,20% marcos + cristales,2025-11-01 00:10:00
Harper HA1058,35175,25% marcos + cristales,2025-11-01 00:10:00
Harper HA1007,1,$1,2025-11-01 00:10:00
Lucca LU1006,26925,25% marcos + cristales,2025-11-01 00:10:00
RayBan 0RX5418,131920,20% marcos + cristales,2025-11-01 00:10:00
Harper Kids HA1156,17175,25% marcos + cristales,2025-11-01 00:10:00
