name,price,discount,date
Kalani KA1039,1,$1,2025-01-01 00:26:00
Giacomo GI1012,1,$1,2025-01-01 00:26:00
Kalani KA1044,1,$1,2025-01-01 00:26:00
Ray Ban 0RX6375,113520,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1039,1,$1,2025-01-01 00:26:00
Kalani KA1001,1,$1,2025-01-01 00:26:00
Kalani KA1006,1,$1,2025-01-01 00:26:00
Kalani KA1059,1,$1,2025-01-01 00:26:00
Lucca LU1018,26925,25% marcos + cristales,2025-01-01 00:26:00
Harper HA1004,41175,25% marcos + cristales,2025-01-01 00:26:00
Kalani KA1045,1,$1,2025-01-01 00:26:00
Kalani KA1040,1,$1,2025-01-01 00:26:00
Kalani KA1044,1,$1,2025-01-01 00:26:00
Kalani KA1012,1,$1,2025-01-01 00:26:00
Lucca LU1009,26925,25% marcos + cristales,2025-01-01 00:26:00
Kalani KA1042,1,$1,2025-01-01 00:26:00
RayBan 0RX5418,125520,20% marcos + cristales,2025-01-01 00:26:00
Ray Ban 0RX7017,132720,20% marcos + cristales,2025-01-01 00:26:00
Giacomo GI1026,1,$1,2025-01-01 00:26:00
Kalani KA1037,1,$1,2025-01-01 00:26:00
Lucca LU1005,26925,25% marcos + cristales,2025-01-01 00:26:00
Cat Inlay,79920,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1040,1,$1,2025-01-01 00:26:00
Cat Chuck,79920,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1056,1,$1,2025-01-01 00:26:00
RayBan 0RX6335,125520,20% marcos + cristales,2025-01-01 00:26:00
Lucca LU1016,26925,25% marcos + cristales,2025-01-01 00:26:00
Emporio 0EA3229,109520,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1056,1,$1,2025-01-01 00:26:00
Harper HA1154 Clip On,49425,25% marcos + cristales,2025-01-01 00:26:00
Emporio 0EA1105,117520,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1007,1,$1,2025-01-01 00:26:00
Kalani KA1011,1,$1,2025-01-01 00:26:00
Kalani KA1003,1,$1,2025-01-01 00:26:00
Kalani KA1004,1,$1,2025-01-01 00:26:00
Emporio 0EA1041,125520,20% marcos + cristales,2025-01-01 00:26:00
Lacoste L3637,79992,20% marcos + cristales,2025-01-01 00:26:00
Giacomo GI1010,1,$1,2025-01-01 00:26:00
Harper HA1003,41175,25% marcos + cristales,2025-01-01 00:26:00
Giacomo GI1022,1,$1,2025-01-01 00:26:00
Lucca LU1023,26925,25% marcos + cristales,2025-01-01 00:26:00
Lucca LU1021,26925,25% marcos + cristales,2025-01-01 00:26:00
Giacomo GI1015,1,$1,2025-01-01 00:26:00
Emporio 0EA3233,125520,20% marcos + cristales,2025-01-01 00:26:00
RayBan 0RX5406,113520,20% marcos + cristales,2025-01-01 00:26:00
Harper Juvenil HA1003,32925,25% marcos + cristales,2025-01-01 00:26:00
Kalani KA1060,1,$1,2025-01-01 00:26:00
Harper HA1002,41175,25% marcos + cristales,2025-01-01 00:26:00
Cat Hex,79920,20% marcos + cristales,2025-01-01 00:26:00
Lucca LU1008,26925,25% marcos + cristales,2025-01-01 00:26:00
Harper HA1054,35175,25% marcos + cristales,2025-01-01 00:26:00
Boss B1040,151920,20% marcos + cristales,2025-01-01 00:26:00
Cat Chisel,79920,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1038,1,$1,2025-01-01 00:26:00
Oakley 0OX8081,109520,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1037,1,$1,2025-01-01 00:26:00
Kalani KA1013,1,$1,2025-01-01 00:26:00
Kalani KA1016,1,$1,2025-01-01 00:26:00
Cat CTO3010,79920,20% marcos + cristales,2025-01-01 00:26:00
RayBan Kids RY9097V,57520,20% marcos + cristales,2025-01-01 00:26:00
Oakley 0OX3227,140720,20% marcos + cristales,2025-01-01 00:26:00
Cat Joiner,75920,20% marcos + cristales,2025-01-01 00:26:00
Boss B1007/IT,151920,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1016,41175,25% marcos + cristales,2025-01-01 00:26:00
Arnette 0AN7175,51920,20% marcos + cristales,2025-01-01 00:26:00
Oakley 0OX8060,101520,20% marcos + cristales,2025-01-01 00:26:00
Lucca LU1002,26925,25% marcos + cristales,2025-01-01 00:26:00
Lucca LU1002,26925,25% marcos + cristales,2025-01-01 00:26:00
Lucca LU1006,26925,25% marcos + cristales,2025-01-01 00:26:00
Polo RLPH1175,103120,20% marcos + cristales,2025-01-01 00:26:00
Miraflex 0MF4002,43920,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1068,35175,25% marcos + cristales,2025-01-01 00:26:00
Puma PU0094O,47920,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1053,35175,25% marcos + cristales,2025-01-01 00:26:00
Kalani KA1007,1,$1,2025-01-01 00:26:00
Ray Ban 0RX7210,132720,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1043,1,$1,2025-01-01 00:26:00
Harper HA1058,35175,25% marcos + cristales,2025-01-01 00:26:00
Polaroid Clip On PLD 6136/CS,87920,20% marcos + cristales,2025-01-01 00:26:00
Cat Dormer 106,75920,20% marcos + cristales,2025-01-01 00:26:00
Polo RLPH2267,118320,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1074,35175,25% marcos + cristales,2025-01-01 00:26:00
Kalani KA1009,1,$1,2025-01-01 00:26:00
Harper HA1067,26925,25% marcos + cristales,2025-01-01 00:26:00
Giacomo GI1007,1,$1,2025-01-01 00:26:00
Carrera CARDUC032,111920,20% marcos + cristales,2025-01-01 00:26:00
Prada 0PRA10V,279920,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1158 Clip On,49425,25% marcos + cristales,2025-01-01 00:26:00
Rayban 0RX7225,113520,20% marcos + cristales,2025-01-01 00:26:00
Harper HA1007,26925,25% marcos + cristales,2025-01-01 00:26:00
Rayban 0RX7229,132720,20% marcos + cristales,2025-01-01 00:26:00
Kalani KA1058,1,$1,2025-01-01 00:26:00
Ray Ban 0RX7199,148720,20% marcos + cristales,2025-01-01 00:26:00
Emporio 0EA3177,109520,20% marcos + cristales,2025-01-01 00:26:00
Polaroid Clip On PLD6204/CS,114900,0,2025-01-01 00:26:00
Miraflex Juvenil 0MF4002,43920,20% marcos + cristales,2025-01-01 00:26:00
Arnette 0AN7241U,62320,20% marcos + cristales,2025-01-01 00:26:00
Emporio 0EA3227,117520,20% marcos + cristales,2025-01-01 00:26:00
