name,price,discount,date
Kalani KA1038,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1006,38430,30% marcos + cristales,2025-04-01 00:10:00
Ray Ban 0RX6375,106425,25% marcos + cristales,2025-04-01 00:10:00
Kalani KA1001,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1037,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1042,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1022,46130,30% marcos + cristales,2025-04-01 00:10:00
Lucca LU1018,25130,30% marcos + cristales,2025-04-01 00:10:00
Giacomo GI1001,46130,30% marcos + cristales,2025-04-01 00:10:00
Kalani KA1044,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1008,46130,30% marcos + cristales,2025-04-01 00:10:00
Giacomo GI1020,0,Marcos Gratis,2025-04-01 00:10:00
RayBan 0RX5418,117675,25% marcos + cristales,2025-04-01 00:10:00
Kalani KA1012,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1024,46130,30% marcos + cristales,2025-04-01 00:10:00
Kalani KA1040,0,Marcos Gratis,2025-04-01 00:10:00
RayBan 0RX6335,117675,25% marcos + cristales,2025-04-01 00:10:00
Kalani KA1043,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1002,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1009,0,Marcos Gratis,2025-04-01 00:10:00
Lucca LU1009,25130,30% marcos + cristales,2025-04-01 00:10:00
Kalani KA1056,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1023,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1013,0,Marcos Gratis,2025-04-01 00:10:00
Emporio 0EA1105,110175,25% marcos + cristales,2025-04-01 00:10:00
Kalani KA1012,0,Marcos Gratis,2025-04-01 00:10:00
Giacomo GI1016,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1006,0,Marcos Gratis,2025-04-01 00:10:00
Kalani KA1060,0,Marcos Gratis,2025-04-01 00:10:00
