name,price,discount,date
Kalani KA1039,1,$1,2024-11-01 00:32:00
Kalani KA1057,1,$1,2024-11-01 00:32:00
Kalani KA1041,1,$1,2024-11-01 00:32:00
Lucca LU1018,26925,25% marcos + cristales,2024-11-01 00:32:00
RayBan 0RX5285,132720,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1004,41175,25% marcos + cristales,2024-11-01 00:32:00
Kalani KA1044,1,$1,2024-11-01 00:32:00
RayBan 0RX5418,125520,20% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1012,1,$1,2024-11-01 00:32:00
Giacomo GI1001,1,$1,2024-11-01 00:32:00
Kalani KA1005,1,$1,2024-11-01 00:32:00
Kalani KA1009,1,$1,2024-11-01 00:32:00
Kalani KA1001,1,$1,2024-11-01 00:32:00
Kalani KA1045,1,$1,2024-11-01 00:32:00
Lucca LU1009,26925,25% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1008,1,$1,2024-11-01 00:32:00
Harper HA1051,35175,25% marcos + cristales,2024-11-01 00:32:00
Kalani KA1012,1,$1,2024-11-01 00:32:00
Kalani KA1044,1,$1,2024-11-01 00:32:00
Kalani KA1006,1,$1,2024-11-01 00:32:00
Lucca LU1005,26925,25% marcos + cristales,2024-11-01 00:32:00
RayBan 0RX6335,125520,20% marcos + cristales,2024-11-01 00:32:00
Lucca LU1016,26925,25% marcos + cristales,2024-11-01 00:32:00
Emporio 0EA1041,125520,20% marcos + cristales,2024-11-01 00:32:00
Cat Chuck,79920,20% marcos + cristales,2024-11-01 00:32:00
Kalani KA1042,1,$1,2024-11-01 00:32:00
Lucca LU1029,26925,25% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1020,1,$1,2024-11-01 00:32:00
Lucca LU1025,26925,25% marcos + cristales,2024-11-01 00:32:00
Harper HA1009,41175,25% marcos + cristales,2024-11-01 00:32:00
Kalani KA1056,1,$1,2024-11-01 00:32:00
Kalani KA1056,1,$1,2024-11-01 00:32:00
Harper HA1124,24675,25% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1010,1,$1,2024-11-01 00:32:00
Kalani KA1016,1,$1,2024-11-01 00:32:00
Polaroid Clip On PLD 6205/CS,91920,20% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1015,1,$1,2024-11-01 00:32:00
Oakley 0OX8144,109520,20% marcos + cristales,2024-11-01 00:32:00
Harper Juvenil HA1003,32925,25% marcos + cristales,2024-11-01 00:32:00
Oakley 0OX8060,101520,20% marcos + cristales,2024-11-01 00:32:00
Lucca LU1002,26925,25% marcos + cristales,2024-11-01 00:32:00
Lucca LU1008,26925,25% marcos + cristales,2024-11-01 00:32:00
Harper HA1054,35175,25% marcos + cristales,2024-11-01 00:32:00
Miraflex 0MF4002,43920,20% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1026,1,$1,2024-11-01 00:32:00
Oakley 0OX8153,148720,20% marcos + cristales,2024-11-01 00:32:00
Kalani KA1007,1,$1,2024-11-01 00:32:00
Harper HA1058,35175,25% marcos + cristales,2024-11-01 00:32:00
Kalani KA1043,1,$1,2024-11-01 00:32:00
Kalani KA1016,1,$1,2024-11-01 00:32:00
RayBan 0RX5406,113520,20% marcos + cristales,2024-11-01 00:32:00
Arnette 0AN7175,51920,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1002,41175,25% marcos + cristales,2024-11-01 00:32:00
Harper HA1016,41175,25% marcos + cristales,2024-11-01 00:32:00
Miraflex 0MF4005,47920,20% marcos + cristales,2024-11-01 00:32:00
Rayban 0RX7229,132720,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1003,41175,25% marcos + cristales,2024-11-01 00:32:00
Prada  0PR14WV,184720,20% marcos + cristales,2024-11-01 00:32:00
Miraflex 0MF4002,43920,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1068,35175,25% marcos + cristales,2024-11-01 00:32:00
Lucca LU1021,26925,25% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1024,1,$1,2024-11-01 00:32:00
Giacomo GI1007,1,$1,2024-11-01 00:32:00
Harper HA1074,35175,25% marcos + cristales,2024-11-01 00:32:00
Harper HA1067,26925,25% marcos + cristales,2024-11-01 00:32:00
Arnette Montrose AN7224,62320,20% marcos + cristales,2024-11-01 00:32:00
Cat Joiner,75920,20% marcos + cristales,2024-11-01 00:32:00
Prada 0PRA10V,279920,20% marcos + cristales,2024-11-01 00:32:00
Miraflex Juvenil 0MF4002,43920,20% marcos + cristales,2024-11-01 00:32:00
Persol 0PO3007VM,188720,20% marcos + cristales,2024-11-01 00:32:00
Lucca LU1002,26925,25% marcos + cristales,2024-11-01 00:32:00
Arnette 0AN7241U,62320,20% marcos + cristales,2024-11-01 00:32:00
Cat Hex,79920,20% marcos + cristales,2024-11-01 00:32:00
Ray Ban Kids 0RY1549,79120,20% marcos + cristales,2024-11-01 00:32:00
Cat Gambrel,79920,20% marcos + cristales,2024-11-01 00:32:00
Lucca LU1003,26925,25% marcos + cristales,2024-11-01 00:32:00
Lucca LU1015,26925,25% marcos + cristales,2024-11-01 00:32:00
Giacomo GI1023,1,$1,2024-11-01 00:32:00
Harper HA1153 Clip On,49425,25% marcos + cristales,2024-11-01 00:32:00
Cat Chisel,79920,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1017,41175,25% marcos + cristales,2024-11-01 00:32:00
Harper HA1154 Clip On,49425,25% marcos + cristales,2024-11-01 00:32:00
Hugo HG1273,111920,20% marcos + cristales,2024-11-01 00:32:00
Harper HA1005,41175,25% marcos + cristales,2024-11-01 00:32:00
Kalani KA1007,1,$1,2024-11-01 00:32:00
Kalani KA1012,1,$1,2024-11-01 00:32:00
RayBan 0RX7217,113520,20% marcos + cristales,2024-11-01 00:32:00
Kalani KA1043,1,$1,2024-11-01 00:32:00
